#1
double	Pel(35040,2)
358200	0.0483
359100	0.0479
360000	0.0479
360900	0.0480
361800	0.0485
362700	0.0492
363600	0.0500
364500	0.0512
365400	0.0539
366300	0.0597
367200	0.0698
368100	0.0851
369000	0.1036
369900	0.1226
370800	0.1395
371700	0.1522
372600	0.1608
373500	0.1660
374400	0.1687
375300	0.1694
376200	0.1687
377100	0.1665
378000	0.1635
378900	0.1598
379800	0.1559
380700	0.1520
381600	0.1489
382500	0.1468
383400	0.1454
384300	0.1448
385200	0.1448
386100	0.1453
387000	0.1464
387900	0.1485
388800	0.1520
389700	0.1569
390600	0.1622
391500	0.1664
392400	0.1687
393300	0.1679
394200	0.1648
395100	0.1602
396000	0.1552
396900	0.1504
397800	0.1461
398700	0.1423
399600	0.1385
400500	0.1350
401400	0.1320
402300	0.1295
403200	0.1281
404100	0.1279
405000	0.1291
405900	0.1321
406800	0.1375
407700	0.1451
408600	0.1548
409500	0.1659
410400	0.1781
411300	0.1907
412200	0.2030
413100	0.2142
414000	0.2238
414900	0.2311
415800	0.2355
416700	0.2364
417600	0.2332
418500	0.2261
419400	0.2161
420300	0.2051
421200	0.1947
422100	0.1863
423000	0.1794
423900	0.1732
424800	0.1667
425700	0.1592
426600	0.1508
427500	0.1418
428400	0.1323
429300	0.1226
430200	0.1129
431100	0.1032
432000	0.0937
432900	0.0847
433800	0.0762
434700	0.0688
435600	0.0625
436500	0.0579
437400	0.0546
438300	0.0525
439200	0.0511
440100	0.0502
441000	0.0496
441900	0.0494
442800	0.0490
443700	0.0486
444600	0.0484
445500	0.0480
446400	0.0480
447300	0.0481
448200	0.0486
449100	0.0492
450000	0.0501
450900	0.0512
451800	0.0540
452700	0.0597
453600	0.0699
454500	0.0852
455400	0.1037
456300	0.1228
457200	0.1397
458100	0.1523
459000	0.1610
459900	0.1662
460800	0.1689
461700	0.1696
462600	0.1689
463500	0.1667
464400	0.1637
465300	0.1600
466200	0.1561
467100	0.1522
468000	0.1491
468900	0.1469
469800	0.1456
470700	0.1449
471600	0.1449
472500	0.1454
473400	0.1466
474300	0.1487
475200	0.1522
476100	0.1571
477000	0.1623
477900	0.1666
478800	0.1689
479700	0.1681
480600	0.1650
481500	0.1603
482400	0.1553
483300	0.1506
484200	0.1463
485100	0.1424
486000	0.1387
486900	0.1352
487800	0.1321
488700	0.1296
489600	0.1283
490500	0.1280
491400	0.1293
492300	0.1323
493200	0.1377
494100	0.1453
495000	0.1549
495900	0.1661
