#1
double	presence(8760,2)
1558800	1.0
1562400	1.0
1566000	1.0
1569600	1.0
1573200	1.0
1576800	0.862
1580400	0.621
1584000	0.483
1587600	0.172
1591200	0.207
1594800	0.172
1598400	0.345
1602000	0.517
1605600	0.345
1609200	0.379
1612800	0.345
1616400	0.448
1620000	0.483
1623600	0.69
1627200	0.862
1630800	0.862
1634400	1.0
1638000	1.0
1641600	1.0
1645200	1.0
1648800	1.0
1652400	1.0
1656000	1.0
1659600	1.0
1663200	0.862
1666800	0.621
1670400	0.483
1674000	0.172
1677600	0.207
1681200	0.172
1684800	0.345
1688400	0.517
1692000	0.345
1695600	0.379
1699200	0.345
1702800	0.448
1706400	0.483
1710000	0.69
1713600	0.862
1717200	0.862
1720800	1.0
1724400	1.0
1728000	1.0
1731600	1.0
1735200	1.0
1738800	1.0
1742400	1.0
1746000	1.0
1749600	0.862
1753200	0.621
1756800	0.483
1760400	0.172
1764000	0.207
1767600	0.172
1771200	0.345
1774800	0.517
1778400	0.345
1782000	0.379
1785600	0.345
1789200	0.448
1792800	0.483
1796400	0.69
1800000	0.862
1803600	0.862
1807200	1.0
1810800	1.0
1814400	1.0
1818000	1.0
1821600	1.0
1825200	1.0
1828800	1.0
1832400	1.0
1836000	0.862
1839600	0.621
1843200	0.483
1846800	0.172
1850400	0.207
1854000	0.172
1857600	0.345
1861200	0.517
1864800	0.345
1868400	0.379
1872000	0.345
1875600	0.448
1879200	0.483
1882800	0.69
1886400	0.862
1890000	0.862
1893600	1.0
1897200	1.0
1900800	1.0
1904400	1.0
1908000	1.0
1911600	1.0
1915200	1.0
1918800	1.0
1922400	0.862
1926000	0.621
1929600	0.483
1933200	0.172
1936800	0.207
1940400	0.172
1944000	0.345
1947600	0.517
1951200	0.345
1954800	0.379
1958400	0.345
1962000	0.448
1965600	0.483
1969200	0.69
1972800	0.862
1976400	0.862
1980000	1.0
1983600	1.0
1987200	0.996
1990800	0.996
1994400	0.996
1998000	1.0
2001600	1.0
2005200	0.996
2008800	0.822
2012400	0.724
2016000	0.655
2019600	0.552
2023200	0.448
2026800	0.31
2030400	0.586
2034000	0.655
2037600	0.552
2041200	0.483
2044800	0.448
2048400	0.483
2052000	0.517
2055600	0.69
2059200	0.759
2062800	0.793
2066400	0.793
2070000	0.966
2073600	0.996
2077200	0.996
2080800	1.0
2084400	1.0
2088000	1.0
2091600	0.996
2095200	0.822
2098800	0.724
2102400	0.655
2106000	0.552
2109600	0.448
2113200	0.31
2116800	0.586
2120400	0.655
2124000	0.552
2127600	0.483
2131200	0.448
2134800	0.483
2138400	0.517
2142000	0.69
2145600	0.759
2149200	0.793
2152800	0.793
2156400	0.966
2160000	1.0
2163600	1.0
2167200	1.0
2170800	1.0
2174400	1.0
2178000	1.0
2181600	0.862
2185200	0.621
2188800	0.483
2192400	0.172
2196000	0.207
2199600	0.172
2203200	0.345
2206800	0.517
2210400	0.345
2214000	0.379
2217600	0.345
2221200	0.448
2224800	0.483
2228400	0.69
2232000	0.862
2235600	0.862
2239200	1.0
2242800	1.0
2246400	1.0
2250000	1.0
