Paket Code,t,dt,n,kanal1(t),kanal1(t-dt),kanal2(t),kanal2(t-dt),kanal3(t),kanal3(t-dt)
16,0.0,3600.0,3,282.0,0.0,0.0005833333333333333,0.0,0.0,0.0
16,3600.0,3600.0,3,280.38440054456265,282.0,0.0005833333333333333,0.0005833333333333333,4.503692608264734,0.0
16,7200.0,3600.0,3,280.11996353606344,280.38440054456265,0.0005833333333333333,0.0005833333333333333,8.338644078042831,4.503692608264734
16,10800.0,3600.0,3,279.92862834812735,280.11996353606344,0.0005833333333333333,0.0005833333333333333,12.104482915245573,8.338644078042831
16,14400.0,3600.0,3,279.79879100126493,279.92862834812735,0.0005833333333333333,0.0005833333333333333,15.838977234955955,12.104482915245573
16,18000.0,3600.0,3,279.6978823046551,279.79879100126493,0.0005833333333333333,0.0005833333333333333,19.549594568618396,15.838977234955955
16,21600.0,3600.0,3,279.6138115073009,279.6978823046551,0.0005833333333333333,0.0005833333333333333,23.24077652823233,19.549594568618396
16,25200.0,3600.0,3,279.5426194628869,279.6138115073009,0.0005833333333333333,0.0005833333333333333,26.91331826015993,23.24077652823233
16,28800.0,3600.0,3,279.48284446687165,279.5426194628869,0.0005833333333333333,0.0005833333333333333,30.566891215179904,26.91331826015993
16,32400.0,3600.0,3,279.43976887576173,279.48284446687165,0.0005833333333333333,0.0005833333333333333,34.19046764780716,30.566891215179904
16,36000.0,3600.0,3,279.41769073424297,279.43976887576173,0.0005833333333333333,0.0005833333333333333,37.75805040217274,34.19046764780716
